,,,,,,,,,,,,,,,,,,,,
 2008-04-30   , 16:59:07 , +01:02:37 , 0.0 , 1866296138 , 100.00 , 59915 , 0.32 , 0 , 0.00 , 496.76 k ,  2.98 G , 29.9 % , 20.68 k , 749 , 575 , 182 , 94 ,   graph ,   file ,chicago (dirB)
 2008-03-19   , 18:59:08 , +01:02:00 , 0.0 , 1747002045 , 100.00 , 60589 , 0.35 , 0 , 0.00 , 469.63 k ,  2.59 G , 26.1 % , 21.31 k , 690 , 223 , 185 , 99 ,   graph ,   file ,chicago (dirB)
 2008-03-19   , 00:01:13 , +06:01:07 , 0.8 , 13063507981 , 100.00 , 368342 , 0.28 , 0 , 0.00 , 602.92 k ,  3.91 G , 39.2 % , 22.02 k , 810 , 1.30 k , 182 , 99 ,   graph ,   file ,chicago (dirB)
 2014-09-18   , 12:59:06 , +01:01:59 , 0.0 , 854785428 , 99.72 , 2401642 , 28.02 , 0 , 0.00 , 230.43 k ,  1.27 G , 12.8 % , 8.84 k , 691 , 262 , 209 , 72 ,   graph ,   file ,sanjose (dirA)
 2014-08-21   , 12:59:04 , +01:01:59 , 5.6 , 2253390626 , 99.88 , 2802701 , 12.42 , 0 , 0.00 , 606.52 k ,  3.57 G , 35.9 % , 18.33 k , 736 , 449 , 155 , 72 ,   graph ,   file ,sanjose (dirA)
 2014-07-17   , 12:59:04 , +01:01:59 , 3.3 , 2382728711 , 99.71 , 6925607 , 28.98 , 0 , 0.00 , 642.40 k ,  3.24 G , 32.6 % , 21.79 k , 631 , 118 , 439 , 72 ,   graph ,   file ,sanjose (dirA)
 2014-06-19   , 12:59:04 , +01:01:59 , 0.0 , 2531915887 , 99.59 , 10414483 , 40.96 , 0 , 0.00 , 683.44 k ,  3.70 G , 37.1 % , 23.03 k , 677 , 200 , 537 , 80 ,   graph ,   file ,sanjose (dirA)
 2014-05-16   , 12:59:11 , +01:02:00 , 0.0 , 2226529885 , 99.80 , 4514520 , 20.24 , 0 , 0.00 , 599.60 k ,  3.21 G , 32.2 % , 19.80 k , 669 , 196 , 134 , 72 ,   graph ,   file ,sanjose (dirA)
 2014-04-25   , 13:00:01 , +01:01:07 , 8.5 , 1728347765 , 99.67 , 5653221 , 32.60 , 0 , 0.00 , 472.84 k ,  2.62 G , 26.3 % , 15.91 k , 695 , 209 , 152 , 72 ,   graph ,   file ,sanjose (dirA)
 2014-03-20   , 12:59:05 , +01:01:59 , 0.0 , 2512514864 , 99.32 , 17242121 , 68.16 , 0 , 0.00 , 680.06 k ,  3.77 G , 37.9 % , 34.62 k , 697 , 205 , 109 , 60 ,   graph ,   file ,sanjose (dirA)
 2014-02-20   , 12:59:05 , +01:01:59 , 0.0 , 2216094096 , 99.57 , 9674101 , 43.46 , 0 , 0.00 , 598.34 k ,  3.66 G , 36.8 % , 32.37 k , 765 , 605 , 595 , 84 ,   graph ,   file ,sanjose (dirA)
 2014-01-16   , 12:59:05 , +01:01:59 , 0.0 , 1718910685 , 99.38 , 10661825 , 61.64 , 0 , 0.00 , 464.95 k ,  2.80 G , 28.1 % , 37.98 k , 754 , 500 , 624 , 101 ,   graph ,   file ,sanjose (dirA)
 2013-12-19   , 12:59:06 , +01:01:59 , 0.0 , 2555890712 , 99.54 , 11819898 , 46.03 , 0 , 0.00 , 690.28 k ,  4.09 G , 41.1 % , 65.20 k , 741 , 558 , 604 , 80 ,   graph ,   file ,sanjose (dirA)
 2013-11-21   , 12:59:04 , +01:01:59 , 0.0 , 1996817174 , 99.84 , 3147605 , 15.74 , 0 , 0.00 , 537.64 k ,  3.52 G , 35.4 % , 15.93 k , 820 , 1.31 k , 241 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-10-24   , 12:59:12 , +01:01:59 , 0.0 , 2887028348 , 99.00 , 29218223 , 100.19 , 0 , 0.00 , 783.96 k ,  5.08 G , 51.0 % , 20.07 k , 808 , 1.05 k , 915 , 1.50 k ,   graph ,   file ,sanjose (dirA)
 2013-09-19   , 12:59:05 , +01:02:02 , 0.0 , 2961869757 , 99.73 , 8156756 , 27.46 , 0 , 0.00 , 797.78 k ,  4.63 G , 46.5 % , 16.95 k , 727 , 203 , 183 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-08-15   , 12:59:05 , +01:01:59 , 0.0 , 2577381687 , 99.86 , 3490038 , 13.52 , 0 , 0.00 , 693.84 k ,  5.22 G , 52.5 % , 14.35 k , 942 , 1.49 k , 137 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-07-18   , 12:59:05 , +01:01:59 , 2.6 , 2011422747 , 99.87 , 2713401 , 13.47 , 0 , 0.00 , 541.46 k ,  3.69 G , 37.0 % , 16.18 k , 852 , 1.40 k , 191 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-06-20   , 12:59:12 , +01:01:59 , 0.0 , 1979171225 , 99.81 , 3704040 , 18.68 , 0 , 0.00 , 533.05 k ,  3.48 G , 34.9 % , 15.94 k , 816 , 1.19 k , 393 , 84 ,   graph ,   file ,sanjose (dirA)
 2013-05-29   , 12:59:11 , +01:02:42 , 0.0 , 2069718672 , 99.82 , 3751511 , 18.09 , 0 , 0.00 , 551.03 k ,  3.22 G , 32.3 % , 22.63 k , 731 , 388 , 145 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-05-16   , 12:59:11 , +01:01:59 , 2.3 , 2302255497 , 99.90 , 2206341 , 9.57 , 0 , 0.00 , 619.50 k ,  4.11 G , 41.3 % , 15.76 k , 831 , 1.35 k , 252 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-04-25   , 12:59:22 , +01:02:00 , 0.0 , 2028058907 , 99.95 , 913715 , 4.50 , 0 , 0.00 , 545.29 k ,  3.25 G , 32.6 % , 37.18 k , 745 , 504 , 332 , 93 ,   graph ,   file ,sanjose (dirA)
 2013-04-18   , 12:59:20 , +01:01:59 , 0.0 , 2330252985 , 99.96 , 859260 , 3.69 , 0 , 0.00 , 626.66 k ,  3.33 G , 33.5 % , 20.92 k , 665 , 125 , 426 , 96 ,   graph ,   file ,sanjose (dirA)
 2013-03-21   , 12:59:16 , +01:01:59 , 0.0 , 2176025090 , 99.97 , 660128 , 3.03 , 0 , 0.00 , 585.15 k ,  2.90 G , 29.1 % , 125.26 k , 619 , 60 , 323 , 98 ,   graph ,   file ,sanjose (dirA)
 2013-02-21   , 12:59:12 , +01:01:59 , 1.7 , 1521059924 , 99.93 , 1014537 , 6.67 , 0 , 0.00 , 409.17 k ,  2.47 G , 24.8 % , 12.04 k , 756 , 530 , 186 , 72 ,   graph ,   file ,sanjose (dirA)
 2013-01-17   , 12:59:12 , +01:01:59 , 0.0 , 1402854129 , 99.92 , 1169032 , 8.33 , 0 , 0.00 , 377.44 k ,  2.08 G , 20.9 % , 11.92 k , 691 , 200 , 175 , 72 ,   graph ,   file ,sanjose (dirA)
 2012-12-20   , 12:59:04 , +01:01:59 , 0.0 , 1960052289 , 99.98 , 373163 , 1.90 , 0 , 0.00 , 527.01 k ,  2.34 G , 23.5 % , 41.92 k , 554 , 52 , 369 , 97 ,   graph ,   file ,sanjose (dirA)
 2012-11-15   , 12:59:04 , +01:01:59 , 4.1 , 2483461386 , 99.99 , 262844 , 1.06 , 0 , 0.00 , 667.69 k ,  1.92 G , 19.3 % , 205.16 k , 359 , 44 , 416 , 104 ,   graph ,   file ,sanjose (dirA)
 2012-10-18   , 12:59:05 , +01:01:59 , 0.0 , 1279288153 , 99.87 , 1653085 , 12.91 , 0 , 0.00 , 344.35 k ,  1.83 G , 18.4 % , 20.77 k , 665 , 175 , 636 , 217 ,   graph ,   file ,sanjose (dirA)
 2012-09-20   , 12:59:05 , +01:02:00 , 0.0 , 1490868831 , 99.95 , 747281 , 5.01 , 0 , 0.00 , 400.88 k ,  2.05 G , 20.6 % , 12.66 k , 640 , 80 , 815 , 1.04 k ,   graph ,   file ,sanjose (dirA)
 2012-08-16   , 12:59:10 , +01:01:59 , 0.0 , 1361133401 , 99.94 , 816826 , 6.00 , 0 , 0.00 , 366.12 k ,  2.03 G , 20.4 % , 10.84 k , 695 , 200 , 201 , 72 ,   graph ,   file ,sanjose (dirA)
 2012-07-19   , 12:59:04 , +01:01:59 , 0.0 , 1362236111 , 99.93 , 887427 , 6.51 , 0 , 0.00 , 366.44 k ,  2.06 G , 20.7 % , 9.91 k , 704 , 200 , 280 , 72 ,   graph ,   file ,sanjose (dirA)
 2012-06-21   , 12:59:07 , +01:01:59 , 0.0 , 2017962393 , 99.98 , 330610 , 1.64 , 0 , 0.00 , 542.57 k ,  3.30 G , 33.1 % , 17.09 k , 759 , 576 , 404 , 104 ,   graph ,   file ,sanjose (dirA)
 2012-06-06   , 23:48:11 , +01:01:59 , 2.5 , 3094883669 , 99.96 , 1124480 , 3.63 , 0 , 0.00 , 832.28 k ,  6.09 G , 61.2 % , 17.66 k , 915 , 1.47 k , 681 , 266 ,   graph ,   file ,sanjose (dirA)
 2012-06-06   , 12:59:05 , +01:01:59 , 0.0 , 2168387418 , 99.96 , 804760 , 3.71 , 0 , 0.00 , 583.13 k ,  3.88 G , 39.0 % , 15.03 k , 832 , 1.39 k , 771 , 1.04 k ,   graph ,   file ,sanjose (dirA)
 2012-06-05   , 23:50:47 , +01:00:57 , 4.9 , 3136847630 , 99.93 , 2055248 , 6.55 , 0 , 0.00 , 858.17 k ,  6.10 G , 61.3 % , 20.55 k , 889 , 1.44 k , 847 , 1.28 k ,   graph ,   file ,sanjose (dirA)
 2012-05-17   , 12:59:05 , +01:02:00 , 0.0 , 1818247191 , 99.99 , 256015 , 1.41 , 0 , 0.00 , 488.73 k ,  2.98 G , 29.9 % , 12.50 k , 762 , 610 , 650 , 418 ,   graph ,   file ,sanjose (dirA)
 2012-04-19   , 12:59:05 , +01:01:59 , 0.0 , 1883005760 , 99.99 , 140362 , 0.75 , 0 , 0.00 , 506.24 k ,  2.96 G , 29.7 % , 14.21 k , 730 , 345 , 361 , 104 ,   graph ,   file ,sanjose (dirA)
 2012-04-18   , 12:59:06 , +01:01:59 , 0.0 , 1927682102 , 99.99 , 144894 , 0.75 , 0 , 0.00 , 518.25 k ,  3.00 G , 30.1 % , 14.23 k , 723 , 336 , 362 , 104 ,   graph ,   file ,sanjose (dirA)
 2012-03-15   , 12:59:10 , +01:01:59 , 0.0 , 1549947885 , 99.99 , 135481 , 0.87 , 0 , 0.00 , 416.70 k ,  2.12 G , 21.3 % , 12.81 k , 636 , 177 , 310 , 104 ,   graph ,   file ,sanjose (dirA)
 2012-02-16   , 12:59:06 , +01:01:59 , 0.0 , 1527789956 , 99.99 , 147781 , 0.97 , 0 , 0.00 , 410.75 k ,  2.17 G , 21.8 % , 13.64 k , 659 , 200 , 352 , 104 ,   graph ,   file ,sanjose (dirA)
 2012-01-19   , 12:59:03 , +01:01:19 , 15.1 , 1637271518 , 99.99 , 146193 , 0.89 , 0 , 0.00 , 445.03 k ,  2.68 G , 26.9 % , 16.27 k , 752 , 502 , 409 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-12-22   , 12:59:06 , +01:01:59 , 0.0 , 2156826591 , 99.99 , 198730 , 0.92 , 0 , 0.00 , 579.86 k ,  2.85 G , 28.6 % , 20.32 k , 614 , 90 , 392 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-11-17   , 12:59:07 , +01:01:59 , 0.0 , 2270949454 , 99.99 , 231385 , 1.02 , 0 , 0.00 , 610.55 k ,  3.22 G , 32.4 % , 21.13 k , 659 , 200 , 310 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-10-20   , 12:59:06 , +01:01:59 , 0.0 , 2638842148 , 99.99 , 202035 , 0.77 , 0 , 0.00 , 709.44 k ,  4.02 G , 40.4 % , 26.32 k , 708 , 208 , 394 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-09-15   , 12:59:05 , +01:02:01 , 0.0 , 2549164224 , 99.99 , 199149 , 0.78 , 0 , 0.00 , 684.96 k ,  3.52 G , 35.4 % , 27.05 k , 643 , 122 , 467 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-08-25   , 12:59:05 , +01:01:59 , 7.2 , 2765508284 , 99.99 , 181140 , 0.65 , 0 , 0.00 , 743.49 k ,  2.94 G , 29.5 % , 193.02 k , 494 , 71 , 439 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-07-21   , 12:59:05 , +01:01:59 , 1.3 , 2102456850 , 99.99 , 194621 , 0.93 , 0 , 0.00 , 565.25 k ,  2.72 G , 27.3 % , 21.97 k , 601 , 108 , 366 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-06-08   , 23:44:04 , +01:01:59 , 0.0 , 3232476098 , 99.99 , 201265 , 0.62 , 0 , 0.00 , 869.02 k ,  4.37 G , 43.9 % , 47.23 k , 628 , 99 , 322 , 99 ,   graph ,   file ,sanjose (dirA)
 2011-06-08   , 12:59:06 , +01:02:00 , 0.0 , 2689357834 , 99.99 , 299736 , 1.11 , 0 , 0.00 , 722.85 k ,  3.95 G , 39.7 % , 27.19 k , 683 , 160 , 443 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-06-07   , 23:44:05 , +01:01:59 , 3.2 , 3243522598 , 99.99 , 202066 , 0.62 , 0 , 0.00 , 871.99 k ,  4.62 G , 46.4 % , 47.69 k , 662 , 137 , 466 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-05-19   , 12:59:03 , +01:01:59 , 1.2 , 2208217934 , 99.99 , 205690 , 0.93 , 0 , 0.00 , 593.68 k ,  2.77 G , 27.8 % , 22.50 k , 582 , 79 , 353 , 111 ,   graph ,   file ,sanjose (dirA)
 2011-04-13   , 12:59:06 , +01:01:59 , 1.1 , 2397710683 , 99.99 , 150708 , 0.63 , 0 , 0.00 , 644.60 k ,  2.59 G , 26.0 % , 27.82 k , 502 , 60 , 740 , 1.28 k ,   graph ,   file ,sanjose (dirA)
 2011-03-24   , 12:59:11 , +01:02:03 , 0.0 , 2283696502 , 100.00 , 68508 , 0.30 , 0 , 0.00 , 613.27 k ,  2.49 G , 25.0 % , 29.49 k , 508 , 60 , 145 , 104 ,   graph ,   file ,sanjose (dirA)
 2011-02-17   , 12:59:06 , +01:01:59 , 1.2 , 2294445966 , 99.98 , 483756 , 2.11 , 0 , 0.00 , 616.93 k ,  2.39 G , 24.0 % , 34.28 k , 484 , 60 , 935 , 1.28 k ,   graph ,   file ,sanjose (dirA)
 2011-01-20   , 12:59:05 , +01:01:59 , 0.0 , 1990896584 , 100.00 , 36389 , 0.18 , 0 , 0.00 , 535.21 k ,  1.87 G , 18.8 % , 31.39 k , 437 , 58 , 135 , 97 ,   graph ,   file ,sanjose (dirA)
 2010-12-17   , 12:59:05 , +01:01:59 , 0.0 , 2383069940 , 100.00 , 46676 , 0.20 , 0 , 0.00 , 640.64 k ,  2.35 G , 23.6 % , 34.96 k , 458 , 60 , 115 , 85 ,   graph ,   file ,sanjose (dirA)
 2010-11-18   , 12:59:05 , +01:01:59 , 3.2 , 2419037436 , 100.00 , 45459 , 0.19 , 0 , 0.00 , 650.31 k ,  2.88 G , 28.9 % , 33.26 k , 553 , 60 , 116 , 96 ,   graph ,   file ,sanjose (dirA)
 2010-10-29   , 12:59:07 , +01:01:59 , 0.0 , 2749442200 , 99.99 , 156929 , 0.57 , 0 , 0.00 , 739.16 k ,  3.17 G , 31.8 % , 44.09 k , 535 , 60 , 817 , 1.32 k ,   graph ,   file ,sanjose (dirA)
 2010-09-16   , 12:59:05 , +01:01:59 , 0.0 , 1870793378 , 100.00 , 15295 , 0.08 , 0 , 0.00 , 502.92 k ,  2.74 G , 27.5 % , 19.65 k , 680 , 200 , 121 , 92 ,   graph ,   file ,sanjose (dirA)
 2010-08-19   , 12:59:10 , +01:02:00 , 0.0 , 3278615282 , 100.00 , 28813 , 0.09 , 0 , 0.00 , 881.15 k ,  4.41 G , 44.3 % , 41.67 k , 625 , 122 , 117 , 99 ,   graph ,   file ,sanjose (dirA)
 2010-07-15   , 12:59:04 , +01:01:59 , 0.9 , 2886961507 , 100.00 , 14998 , 0.05 , 0 , 0.00 , 776.09 k ,  4.00 G , 40.2 % , 39.41 k , 644 , 197 , 98 , 99 ,   graph ,   file ,sanjose (dirA)
 2010-06-17   , 12:59:05 , +01:01:59 , 0.0 , 2786162233 , 100.00 , 135850 , 0.49 , 0 , 0.00 , 749.02 k ,  3.17 G , 31.8 % , 45.45 k , 529 , 60 , 228 , 170 ,   graph ,   file ,sanjose (dirA)
 2010-04-14   , 12:59:05 , +01:01:59 , 0.0 , 2575902694 , 100.00 , 113084 , 0.44 , 0 , 0.00 , 692.50 k ,  2.75 G , 27.6 % , 35.71 k , 497 , 60 , 268 , 172 ,   graph ,   file ,sanjose (dirA)
 2010-03-25   , 12:59:05 , +01:01:59 , 0.0 , 2023048646 , 99.99 , 108004 , 0.53 , 0 , 0.00 , 543.88 k ,  2.48 G , 24.9 % , 33.86 k , 570 , 70 , 253 , 171 ,   graph ,   file ,sanjose (dirA)
 2010-02-25   , 12:59:04 , +01:01:59 , 0.0 , 1652792625 , 100.00 , 29797 , 0.18 , 0 , 0.00 , 444.32 k ,  2.09 G , 21.0 % , 30.00 k , 587 , 79 , 208 , 99 ,   graph ,   file ,sanjose (dirA)
 2010-01-21   , 12:59:04 , +01:01:59 , 0.0 , 1168160320 , 100.00 , 34583 , 0.30 , 0 , 0.00 , 314.04 k ,  1.47 G , 14.8 % , 21.21 k , 586 , 72 , 144 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-12-17   , 12:59:04 , +01:01:59 , 53.6 , 803514895 , 99.71 , 139545 , 1.73 , 2.23 M , 27.61 , 215.97 k ,  1.15 G , 11.5 % , 16.57 k , 663 , 165 , 14.32 k , 2.21 k ,   graph ,   file ,sanjose (dirA)
 2009-11-19   , 12:59:04 , +01:01:59 , 0.0 , 1606770125 , 100.00 , 47079 , 0.29 , 0 , 0.00 , 431.95 k ,  1.86 G , 18.7 % , 27.42 k , 538 , 66 , 293 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-10-15   , 12:59:05 , +01:01:59 , 0.0 , 2460311121 , 100.00 , 53050 , 0.22 , 0 , 0.00 , 661.41 k ,  3.09 G , 31.1 % , 54.36 k , 585 , 89 , 305 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-09-17   , 12:59:05 , +01:01:59 , 0.0 , 2385472953 , 100.00 , 60040 , 0.25 , 0 , 0.00 , 641.29 k ,  2.86 G , 28.8 % , 61.32 k , 558 , 72 , 282 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-08-20   , 12:59:05 , +01:01:59 , 1.5 , 1771382907 , 100.00 , 75371 , 0.43 , 0 , 0.00 , 476.21 k ,  2.17 G , 21.8 % , 39.34 k , 571 , 78 , 236 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-07-16   , 12:59:05 , +01:02:00 , 1.3 , 2129056088 , 100.00 , 67944 , 0.32 , 0 , 0.00 , 572.21 k ,  2.48 G , 24.9 % , 43.19 k , 542 , 66 , 240 , 111 ,   graph ,   file ,sanjose (dirA)
 2009-06-18   , 12:59:04 , +01:01:59 , 2.4 , 2303117226 , 100.00 , 41705 , 0.18 , 0 , 0.00 , 619.14 k ,  2.36 G , 23.7 % , 58.03 k , 477 , 60 , 348 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-05-21   , 12:59:03 , +01:01:59 , 1.4 , 2043760181 , 100.00 , 42291 , 0.21 , 0 , 0.00 , 549.42 k ,  2.49 G , 25.0 % , 40.79 k , 567 , 76 , 344 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-04-16   , 12:59:04 , +01:01:59 , 0.0 , 2905440264 , 100.00 , 56507 , 0.19 , 0 , 0.00 , 781.07 k ,  4.24 G , 42.6 % , 41.27 k , 679 , 200 , 363 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-03-31   , 12:59:03 , +01:01:59 , 0.0 , 1987063934 , 100.00 , 47518 , 0.24 , 0 , 0.00 , 534.18 k ,  2.20 G , 22.1 % , 46.42 k , 516 , 65 , 408 , 99 ,   graph ,   file ,sanjose (dirA)
 2008-11-20   , 12:59:03 , +00:57:13 , 1.8 , 1429529054 , 100.00 , 68911 , 0.48 , 0 , 0.00 , 416.31 k ,  1.87 G , 18.8 % , 31.98 k , 562 , 95 , 397 , 99 ,   graph ,   file ,sanjose (dirA)
 2008-10-16   , 12:59:04 , +01:01:59 , 0.0 , 1407792816 , 99.99 , 109445 , 0.78 , 0 , 0.00 , 378.48 k ,  1.84 G , 18.5 % , 25.93 k , 609 , 129 , 265 , 99 ,   graph ,   file ,sanjose (dirA)
 1970-01-01 , 00:01:13 , +01:00:47 , 1.9 , 1418188489 , 99.98 , 269376 , 1.90 , 0 , 0.00 , 388.88 k ,  2.23 G , 22.4 % ,  , 716 , 389 , 166 , 98 ,   graph ,   file ,sanjose (dirA)
 2008-08-21   , 12:59:04 , +01:01:59 , 0.0 , 1376104207 , 99.99 , 158149 , 1.15 , 0 , 0.00 , 369.97 k ,  1.90 G , 19.1 % , 25.37 k , 643 , 156 , 202 , 99 ,   graph ,   file ,sanjose (dirA)
 2008-07-17   , 12:59:07 , +01:01:59 , 0.0 , 1544900588 , 100.00 , 74603 , 0.48 , 0 , 0.00 , 415.32 k ,  2.05 G , 20.6 % , 29.18 k , 618 , 126 , 292 , 99 ,   graph ,   file ,sanjose (dirA)
 2013-08-15 , 12:59:05 , +01:27:42 , 0.0 , 704072204 , 99.92 , 539750 , 7.66 , 0 , 0.00 , 133.88 k ,  799.99 M , 8.0 % ,  , 747 , 463 , 314 , 93 ,   ,   ,sanjose (dirB)
 2013-07-18 , 12:59:05 , +01:28:32 , 0.0 , 711851281 , 99.92 , 578185 , 8.12 , 0 , 0.00 , 134.11 k ,  767.94 M , 7.7 % ,  , 716 , 249 , 281 , 93 ,   ,   ,sanjose (dirB)
 2013-06-20   , 12:59:29 , +01:01:59 , 0.0 , 1576776219 , 99.89 , 1798886 , 11.40 , 0 , 0.00 , 424.35 k ,  2.57 G , 25.9 % , 12.73 k , 759 , 582 , 172 , 89 ,   graph ,   file ,sanjose (dirB)
 2013-05-29   , 12:59:48 , +01:02:00 , 0.0 , 1393056475 , 99.88 , 1640218 , 11.76 , 0 , 0.00 , 374.82 k ,  2.16 G , 21.7 % , 12.04 k , 720 , 333 , 167 , 89 ,   graph ,   file ,sanjose (dirB)
 2013-05-16   , 12:59:18 , +01:01:59 , 0.0 , 2064947147 , 99.89 , 2303406 , 11.14 , 0 , 0.00 , 555.72 k ,  3.36 G , 33.8 % , 24.02 k , 757 , 985 , 146 , 72 ,   graph ,   file ,sanjose (dirB)
 2013-04-25   , 12:59:20 , +01:01:59 , 0.0 , 1172156260 , 99.94 , 717489 , 6.12 , 0 , 0.00 , 315.30 k ,  1.76 G , 17.7 % , 10.20 k , 699 , 252 , 269 , 104 ,   graph ,   file ,sanjose (dirB)
 2013-04-18   , 12:59:25 , +01:01:59 , 0.0 , 1504688449 , 99.91 , 1419872 , 9.43 , 0 , 0.00 , 404.88 k ,  1.82 G , 18.2 % , 11.00 k , 561 , 52 , 188 , 72 ,   graph ,   file ,sanjose (dirB)
 2013-03-21   , 12:59:37 , +01:01:59 , 0.0 , 1419713923 , 99.95 , 704515 , 4.96 , 0 , 0.00 , 381.87 k ,  1.60 G , 16.1 % , 143.04 k , 525 , 52 , 313 , 112 ,   graph ,   file ,sanjose (dirB)
 2013-02-21   , 12:59:03 , +01:01:59 , 0.0 , 1024425933 , 99.96 , 411882 , 4.02 , 0 , 0.00 , 275.50 k ,  1.80 G , 18.1 % , 7.78 k , 817 , 1.25 k , 401 , 149 ,   graph ,   file ,sanjose (dirB)
